cycles         instructions   cache-references  cache-misses  branches     branch-misses  page-faults  Power
157,843,419    112,707,634    2,202,748         215,605       20,732,775   1,169,096      4,229        6.2
264,020,882    255,355,442    2,970,920         246,323       47,931,590   2,022,025      4,307        6.3
113,457,999    64,432,761     1,797,889         211,577       12,000,645   677,106        4,304        8.1
130,273,644    81,990,442     1,973,460         213,297       15,169,668   778,805        4,350        6.4
173,443,492    115,752,583    2,101,487         213,322       21,418,798   1,177,083      4,302        6.9
159,140,422    88,932,155     2,624,148         253,783       16,874,456   1,018,821      4,291        7.0
109,055,037    62,935,002     1,687,971         187,760       11,737,928   704,599        4,287        6.8
143,177,147    94,517,581     1,978,830         223,394       17,859,891   946,349        4,315        6.1
109,552,867    61,299,684     1,679,499         185,267       11,468,382   659,707        3,869        6.6
272,745,095    95,315,115     1,212,422         134,244       20,699,439   455,994        2,590        6.4
102,792,361    50,437,904     1,035,907         120,732       9,592,298    398,770        2,119        7.0
92,599,210     53,402,557     1,374,234         144,376       9,754,744    533,561        2,717        6.1
115,798,397    71,518,264     1,712,608         194,567       13,375,061   693,657        4,152        6.3
136,420,480    83,869,417     2,009,914         225,567       15,817,939   856,575        4,298        6.4
156,665,693    110,137,822    2,445,704         268,193       20,133,370   1,003,451      4,346        6.5
128,258,352    74,262,895     1,925,733         212,835       13,850,622   906,611        4,245        6.7
369,379,276    393,490,575    4,260,536         252,016       70,476,836   3,203,204      4,322        6.2
114,409,791    61,059,613     1,739,396         223,342       11,417,057   642,291        4,287        8.2
120,037,918    71,371,837     1,846,458         193,200       13,219,255   730,330        4,328        6.6
153,581,678    93,784,180     2,260,203         242,365       17,368,427   926,483        4,357        6.4
355,168,223    370,534,653    4,413,630         281,108       67,448,784   2,833,122      5,016        7.0
344,396,301    351,946,531    3,754,524         405,356       63,907,006   2,745,560      4,458        8.6
384,039,895    358,088,743    4,594,901         317,731       64,996,170   3,258,348      4,348        8.4
171,124,911    139,742,748    2,309,717         297,064       25,472,744   1,225,661      4,415        8.2
514,822,280    599,207,430    5,742,423         335,578       104,992,650  4,579,153      5,711        6.8
137,941,106    86,290,407     2,088,664         280,983       15,864,892   811,732        4,342        9.7
74,722,833     38,702,969     791,143           114,886       6,910,152    288,628        1,029        7.0
110,452,523    60,387,216     1,750,194         179,815       11,206,400   668,966        4,306        7.1
112,426,419    68,717,780     1,702,494         175,751       12,672,426   703,013        4,306        6.4
319,226,877    346,618,531    3,458,895         390,463       61,238,572   2,749,874      4,567        6.6
135,124,220    75,390,818     1,918,761         232,674       14,058,363   771,202        4,321        8.0
110,255,394    65,882,132     1,680,690         171,420       12,406,239   674,708        4,316        6.5
484,324,271    567,813,980    5,353,304         355,556       100,732,716  4,084,469      5,051        6.4
142,646,589    94,773,254     2,065,319         252,989       17,470,439   980,207        4,335        9.5
146,100,633    79,245,848     2,504,531         220,532       15,044,372   883,449        4,309        6.5
92,432,416     52,724,190     1,447,573         144,874       9,741,491    549,559        3,684        6.8
64,104,427     38,302,379     863,311           126,915       6,917,732    328,180        1,490        6.1
124,352,984    100,919,285    1,771,068         229,469       18,118,813   676,585        3,278        6.2
184,400,515    152,557,976    2,272,405         237,464       26,845,412   1,432,912      4,308        6.8
107,835,215    62,636,467     1,652,446         189,925       11,856,277   642,711        4,300        6.9
119,126,422    68,743,442     1,812,843         198,966       12,771,663   712,216        4,311        6.4
123,838,390    74,235,498     1,746,404         197,210       13,892,507   788,095        4,303        6.7
166,642,692    126,187,359    2,221,286         216,918       23,092,430   1,173,245      4,281        6.7
155,275,983    94,423,752     1,985,954         233,910       17,708,129   798,102        4,365        6.8
103,451,700    57,467,618     1,636,005         167,841       10,756,128   619,776        4,304        7.0
106,011,506    58,446,574     1,653,833         156,907       10,873,898   657,332        4,298        6.5
165,531,061    109,967,935    2,281,184         205,194       20,351,600   1,202,174      4,304        6.6
102,817,236    60,117,159     1,612,132         195,285       11,229,993   629,146        4,321        7.0
152,026,346    87,951,432     2,109,357         221,957       16,335,083   999,210        4,334        6.6
144,507,486    104,546,572    1,908,560         208,925       18,985,704   1,080,647      4,315        7.9
125,280,572    84,481,892     1,927,061         200,045       15,557,591   761,527        4,377        6.5
181,199,553    120,190,014    2,554,322         262,614       22,173,448   1,124,873      4,308        7.0
121,940,890    74,643,048     1,853,000         227,291       13,814,965   699,098        4,338        7.4
43,474,961     28,116,938     542,195           74,061        4,957,469    217,319        1,012        7.0
203,223,945    157,582,700    2,435,818         275,325       28,989,205   1,145,271      4,461        5.9
139,553,004    103,995,647    1,904,759         200,853       19,133,503   1,039,536      4,298        7.8
107,812,541    59,563,709     1,678,328         182,084       11,148,383   661,220        4,305        7.0
133,835,969    84,071,674     1,864,437         202,153       15,623,605   776,042        4,346        6.6
147,065,333    85,861,715     1,888,709         192,896       16,049,784   913,345        4,331        7.0
273,164,203    249,196,253    3,135,814         270,068       44,214,430   2,368,041      4,370        6.7
188,405,551    156,110,456    2,517,160         299,322       28,375,658   1,241,878      4,481        7.7
119,928,640    68,476,153     1,764,054         211,206       12,733,944   750,455        4,309        7.9
144,131,461    102,390,954    2,006,340         230,494       18,803,584   841,754        4,373        6.5
155,110,654    91,555,829     2,530,657         223,522       16,969,521   1,026,992      4,309        7.0
115,137,552    77,100,713     1,760,255         178,675       14,306,376   705,991        4,345        7.0
111,177,014    66,919,210     1,713,394         178,849       12,426,232   644,100        4,310        6.9
99,946,679     56,636,385     1,538,591         136,981       10,545,554   580,142        4,299        6.9
115,119,096    76,328,737     1,776,185         172,215       14,055,609   691,827        4,325        6.2
116,507,615    119,929,043    1,394,254         200,553       21,485,063   650,881        2,710        6.8
136,008,547    92,751,043     1,497,787         184,267       16,695,427   725,853        2,154        6.6
70,511,385     44,088,831     954,361           116,684       7,972,094    375,769        2,060        7.6
