LLC-loads  LLC-load-misses  LLC-stores  LLC-store-misses  dTLB-loads  dTLB-load-misses  dTLB-stores  dTLB-store-misses  Power
563,855    58,751           225,817     91,473            <not        0                 <not         23,017             6.6
752,805    62,510           343,815     119,042           <not        0                 <not         26,808             6.8
985,103    138,926          216,082     95,557            <not        0                 <not         24,589             6.8
205,453    35,337           102,408     44,016            <not        0                 <not         7,960              5.9
582,579    60,414           170,003     70,190            <not        0                 <not         18,505             6.5
544,928    63,546           312,702     95,346            <not        0                 <not         21,230             6.8
574,528    61,911           193,551     86,384            <not        0                 <not         21,333             6.5
497,731    77,629           207,891     48,639            <not        0                 <not         18,275             6.4
723,787    58,823           174,995     157,329           <not        0                 <not         25,419             6.7
393,811    42,265           240,630     104,428           <not        0                 <not         21,714             6.1
632,832    53,642           196,875     85,714            <not        0                 <not         30,725             7.4
522,460    54,919           179,661     86,509            <not        0                 <not         23,746             6.4
578,318    59,371           253,556     71,391            <not        0                 <not         18,066             6.9
600,991    62,261           179,618     90,053            <not        0                 <not         21,787             6.9
457,532    54,459           215,153     64,719            <not        0                 <not         25,058             6.6
566,240    62,442           327,728     171,256           <not        0                 <not         21,877             6.6
859,372    92,920           238,295     187,509           <not        0                 <not         36,494             7.2
509,067    68,606           301,719     216,547           <not        0                 <not         26,028             7.3
904,111    61,794           222,740     79,805            <not        0                 <not         28,920             6.9
460,631    59,320           259,651     57,495            <not        0                 <not         15,642             6.4
519,236    47,248           194,649     86,058            <not        0                 <not         29,132             6.4
773,844    67,273           368,511     165,647           <not        0                 <not         30,074             6.8
1,562,632  720,271          869,904     527,816           <not        0                 <not         21,891             7.2
480,286    81,445           281,937     89,641            <not        0                 <not         22,326             6.4
339,359    52,231           284,330     70,992            <not        0                 <not         20,738             6.4
616,925    47,523           139,153     86,155            <not        0                 <not         24,916             6.5
476,917    60,579           300,006     64,289            <not        0                 <not         25,199             6.5
501,926    78,793           282,160     72,850            <not        0                 <not         16,231             6.6
402,493    56,765           311,664     75,375            <not        0                 <not         20,556             6.2
216,621    33,627           85,435      38,670            <not        0                 <not         8,761              6.1
846,482    83,373           163,809     64,698            <not        0                 <not         19,815             6.6
599,078    75,755           270,419     127,446           <not        0                 <not         28,007             6.7
930,463    145,187          218,128     82,606            <not        0                 <not         28,317             7.1
518,616    84,983           449,248     94,272            <not        0                 <not         21,742             6.3
695,000    76,551           118,155     82,001            <not        0                 <not         21,555             6.1
409,018    115,290          226,591     89,346            <not        0                 <not         15,095             6.6
431,571    69,389           308,721     97,939            <not        0                 <not         22,422             6.3
632,694    78,662           218,030     78,176            <not        0                 <not         25,180             6.4
608,856    69,056           195,329     94,463            <not        0                 <not         20,987             6.3
586,861    50,829           181,515     110,108           <not        0                 <not         27,906             6.3
381,693    50,521           279,197     61,427            <not        0                 <not         22,331             6.2
913,368    99,802           160,610     73,422            <not        0                 <not         19,238             6.6
490,401    50,452           205,630     114,595           <not        0                 <not         21,582             6.4
571,915    79,397           218,639     53,974            <not        0                 <not         16,730             6.5
450,752    58,261           450,985     104,388           <not        0                 <not         17,208             6.5
409,862    52,781           364,834     93,779            <not        0                 <not         22,770             5.9
